specialty fat,84
cake bar,109
sliced cheese,97
baby cosmetics,144
fruit/vegetable juice,34
margarine,2
chicken,32
potted plants,21
canned fruit,103
misc. beverages,67
ham,70
whipped/sour cream,60
sparkling wine,88
cling film/bags,100
flower soil/fertilizer,111
sugar,33
salty snack,45
jam,151
white bread,23
rice,15
sauces,134
softener,99
organic products,145
coffee,6
make up remover,118
dessert,63
tidbits,161
frozen vegetables,78
male cosmetics,102
nut snack,146
pickled vegetables,73
ketchup,150
canned beer,49
meat,123
frozen meals,90
candy,47
frozen chicken,148
pork,58
specialty bar,37
tea,124
fish,101
semi-finished bread,1
house keeping products,126
rolls/buns,17
frankfurter,30
canned fish,79
prosecco,116
ice cream,77
liquor (appetizer),20
rubbing alcohol,141
sausage,50
instant coffee,138
condensed milk,12
rum,132
artif. sweetener,61
white wine,94
detergent,41
dish cleaner,121
seasonal products,80
frozen fruits,163
yogurt,5
brown bread,51
skin care,127
beverages,53
bottled beer,19
bathroom cleaner,48
grapes,62
canned vegetables,91
Instant food products,104
vinegar,135
female sanitary products,120
flower (seeds),87
herbs,93
hamburger meat,54
baby food,159
newspapers,35
finished products,113
specialty chocolate,85
hard cheese,68
kitchen towels,147
soda,31
popcorn,108
red/blush wine,82
cleaner,119
liqueur,154
abrasive cleaner,16
pasta,98
chewing gum,75
toilet cleaner,157
nuts/prunes,153
turkey,71
tropical fruit,4
beef,29
butter milk,38
chocolate marshmallow,76
specialty vegetables,158
packaged fruit/vegetables,36
liquor,129
pip fruit,8
cream cheese,9
specialty cheese,112
oil,74
chocolate,25
snack products,110
cookware,122
cat food,69
kitchen utensil,167
UHT-milk,18
liver loaf,143
whisky,162
cooking chocolate,165
syrup,142
meat spreads,10
citrus fruit,0
napkins,57
potato products,128
soups,131
zwieback,64
frozen dessert,43
whole milk,7
cereals,22
sweet spreads,44
frozen potato products,83
curd cheese,81
root vegetables,42
honey,106
curd,26
pastry,39
sound storage medium,166
other vegetables,11
onions,92
decalcifier,152
roll products,139
cream,156
bags,164
dishes,28
hair spray,137
waffles,46
baking powder,72
organic sausage,155
pet care,130
flour,27
mayonnaise,140
bottled water,24
soap,136
hygiene articles,56
processed cheese,40
mustard,125
ready soups,3
shopping bags,52
dog food,115
long life bakery product,13
brandy,95
soft cheese,105
butter,14
salad dressing,133
dental care,107
spices,55
cocoa drinks,114
candles,86
light bulbs,149
photo/film,96
frozen fish,117
preservation products,168
pudding powder,160
berries,59
salt,89
spread cheese,66
domestic eggs,65
